userid,retailerid,date,rating,review
1,1,2017-07-07 04:45,3,Managed interactive installation very slowly
2,1,2017-03-19 22:43,1,Polarised executive groupware
3,1,2017-08-02 11:35,4,Virtual needs-based superstructure
4,1,2017-07-22 21:22,3,Multi-lateral mission-critical capability
5,1,2017-06-25 17:44,4,Automated intermediate structure
6,1,2017-07-19 10:50,0,Programmable non-volatile adapter
7,1,2017-04-26 07:42,4,Compatible composite archive
8,1,2017-01-28 02:39,3,Realigned regional internet solution
9,1,2017-03-25 17:19,3,Right-sized directional installation
10,1,2017-07-04 07:58,0,Streamlined next generation adapter
1,2,2017-04-20 05:22,2,Triple-buffered human-resource forecast
2,2,2017-03-14 07:45,1,Organic foreground capacity
3,2,2017-06-10 03:02,1,Streamlined systemic product
4,2,2017-05-29 12:40,3,Upgradable content-based forecast
5,2,2017-04-09 06:31,0,Diverse background paradigm
6,2,2017-05-20 04:25,5,Function-based hybrid artificial intelligence
7,2,2017-04-24 15:26,0,Ergonomic national encryption
8,2,2017-02-13 22:42,0,Persevering full-range product
9,2,2017-03-13 10:35,4,Cloned holistic database
10,2,2017-01-06 13:03,0,Secured hybrid product
1,3,2017-05-19 02:11,4,Assimilated analyzing focus group
2,3,2017-01-15 20:36,3,User-centric bandwidth-monitored utilisation
3,3,2017-06-05 00:08,5,Customer-focused zero tolerance system engine
4,3,2017-07-20 08:47,3,Networked web-enabled leverage
5,3,2017-03-11 07:32,5,Mandatory optimizing installation
6,3,2017-04-09 14:18,2,Self-enabling 5th generation open system
7,3,2017-08-09 02:29,1,Focused 5th generation challenge
8,3,2017-09-01 04:11,4,Fundamental next generation secured line
9,3,2017-04-10 05:23,4,Team-oriented incremental local area network
10,3,2017-07-07 01:14,1,Synchronised dedicated matrix
